band,fID,obsHistID
u,1419,2249
y,1419,5898
y,1419,12447
z,1419,13271
z,1419,13320
z,1419,46278
z,1419,46306
g,1419,159496
y,1419,161984
y,1419,167899
i,1419,174551
u,1419,179972
z,1445,180254
i,1331,181111
r,1419,181866
r,1419,181898
r,1419,182014
g,1427,183767
g,1331,183768
g,1566,183809
g,1445,183810
g,1427,183811
g,1331,183812
z,1427,184047
i,1445,184656
r,1427,185595
g,1331,185735
g,1427,185736
g,1309,185783
g,1427,185785
z,1445,187479
z,1427,187493
z,1427,187525
z,1309,187528
z,1546,187545
z,1427,187546
z,1331,187547
z,1309,187553
z,1427,187589
z,1427,187603
y,1445,188991
y,1427,188992
y,1427,188998
y,1427,189408
y,1427,189410
y,1445,189437
y,1427,189438
y,1427,190235
y,1445,190240
y,1427,190247
y,1427,190261
y,1427,190486
y,1331,190487
y,1309,190505
y,1427,190506
y,1331,191126
y,1309,191127
y,1309,191145
y,1331,191146
y,1309,191168
y,1309,191179
y,1309,191216
z,1419,191252
z,1427,191253
z,1427,191280
z,1427,191299
z,1427,191340
z,1309,191376
r,1427,192895
r,1427,193130
r,1427,193170
g,1309,193784
r,1331,193859
r,1419,193861
r,1331,193899
r,1427,195529
i,1427,196438
i,1427,196476
i,1427,196570
i,1427,196611
r,1427,197356
r,1427,197394
r,1445,199450
r,1427,199504
r,1427,199540
i,1427,200152
i,1546,200182
i,1427,200184
u,1427,200705
u,1427,200725
u,1331,200740
i,1331,203563
i,1427,203564
i,1427,203610
i,1331,204558
i,1309,204661
y,1427,206057
y,1331,206058
y,1331,207731
y,1445,207748
y,1445,207760
y,1427,207770
y,1419,207772
y,1427,207800
z,1331,208606
z,1309,209036
z,1309,209888
z,1419,209889
z,1566,210469
z,1445,210471
z,1427,210472
z,1427,210522
i,1309,211154
i,1309,211181
i,1427,211239
i,1419,211240
i,1427,211269
i,1309,211274
r,1445,212083
r,1331,212712
r,1331,212748
u,1427,217577
u,1546,217597
r,1427,219936
r,1427,219966
i,1309,227890
i,1331,227923
i,1427,228838
i,1427,228869
u,1427,235013
u,1309,235052
z,1445,236418
z,1445,236458
z,1427,237856
z,1331,237857
z,1445,237885
z,1427,237886
z,1427,238575
z,1427,238613
z,1331,238614
y,1427,242287
y,1331,242288
y,1427,246591
y,1309,246614
i,1331,248940
r,1309,250363
r,1331,250364
r,1427,250374
r,1419,250375
r,1331,250397
r,1445,250406
r,1427,250407
y,1427,252892
g,1427,254312
g,1445,254339
g,1427,254349
r,1419,261324
r,1419,261369
i,1427,261962
i,1427,261993
y,1445,263195
i,1419,263508
z,1309,263903
y,1331,266109
y,1309,266110
i,1427,269090
i,1427,269132
i,1419,269133
u,1427,277107
u,1419,277108
y,1445,282352
y,1427,282353
y,1419,282354
y,1309,282365
y,1309,284050
y,1427,284051
z,1427,286215
z,1427,286255
y,1419,291888
z,1427,295938
z,1427,295972
y,1419,306132
y,1427,306138
z,1445,308757
z,1331,308758
z,1309,308791
z,1546,314948
z,1419,314954
z,1419,314997
z,1427,316732
y,1309,390571
y,1419,390572
y,1427,390585
y,1331,390586
y,1427,390599
z,1427,395389
i,1309,397333
i,1445,397335
r,1427,398400
r,1419,398420
z,1546,398451
g,1419,399392
g,1309,399393
g,1331,399394
g,1309,400389
g,1427,400437
r,1331,401556
r,1427,401557
r,1331,401595
r,1427,401596
r,1445,405673
r,1419,405724
r,1419,405757
y,1445,406919
y,1331,406929
y,1427,406930
y,1309,407954
y,1445,407967
z,1309,408909
z,1427,409007
z,1419,409008
z,1331,409035
z,1427,409037
y,1427,410887
i,1427,410902
i,1427,410929
i,1546,411047
r,1445,416929
r,1331,416959
r,1445,416960
r,1309,417008
r,1419,417009
r,1419,417057
r,1427,417060
r,1427,417099
u,1427,417975
u,1546,417976
g,1331,419721
g,1427,419722
g,1427,419767
i,1427,420610
i,1427,420652
i,1419,420825
i,1309,421728
y,1331,424477
y,1331,425467
y,1427,425486
y,1419,425490
z,1331,427038
i,1419,428497
i,1427,428498
i,1427,428531
r,1427,429132
g,1331,430012
g,1331,430050
u,1427,431150
u,1445,431176
u,1331,431184
u,1419,431306
u,1427,433920
i,1445,433998
i,1566,434038
r,1445,436418
r,1309,436458
z,1427,436768
z,1419,436769
i,1546,437318
i,1427,437319
i,1331,437320
i,1427,437349
i,1309,437351
r,1427,439120
r,1331,440980
r,1427,440982
r,1445,440983
r,1427,441020
y,1427,443137
z,1427,443780
z,1331,443820
z,1427,443821
z,1419,443856
z,1309,443857
z,1309,443899
y,1331,444605
y,1445,444667
y,1427,444687
y,1427,444737
y,1427,444751
r,1331,445708
i,1331,446616
r,1427,447526
r,1427,448301
r,1427,448346
g,1445,449859
g,1427,449903
g,1419,449904
g,1427,449954
g,1419,449955
r,1309,451455
r,1331,451456
r,1546,451512
r,1419,452599
r,1309,456721
r,1566,456731
y,1309,458257
y,1427,458259
i,1331,458496
i,1427,458622
i,1445,458667
i,1427,458668
i,1419,458669
y,1309,461449
y,1427,461451
y,1419,461470
z,1445,462676
i,1309,464185
u,1427,465984
u,1309,466033
u,1419,466708
u,1445,467455
r,1427,470398
y,1427,471884
y,1331,471885
i,1419,472840
z,1309,474771
z,1331,474778
z,1427,474779
z,1427,474805
z,1309,474807
y,1309,475531
z,1331,476291
z,1331,476327
z,1427,476328
z,1427,476369
z,1419,477790
i,1309,478927
i,1309,478975
g,1419,479256
g,1427,479257
g,1309,479284
g,1427,479286
g,1331,479358
i,1427,479666
i,1427,479703
i,1445,479759
z,1427,484866
z,1309,484904
z,1331,484905
z,1427,484906
r,1427,490000
i,1546,496949
i,1419,496950
i,1427,496953
i,1309,496987
y,1309,500814
y,1419,510403
y,1419,510417
i,1309,512050
y,1445,512654
y,1427,512655
y,1427,513434
z,1309,516293
z,1427,516300
z,1309,516331
z,1419,516336
z,1445,523888
z,1427,523889
z,1419,523890
y,1427,530317
y,1427,532800
y,1309,532825
y,1331,532826
y,1419,532827
z,1427,538392
z,1309,538393
z,1427,538431
z,1309,538433
y,1419,541807
y,1419,552246
i,1427,614607
i,1427,614643
u,1445,615741
u,1427,615742
u,1419,615746
u,1309,615747
g,1331,617750
g,1427,617751
g,1427,617785
g,1445,617786
z,1427,627968
z,1419,627971
z,1331,627997
z,1309,627998
z,1427,628000
y,1309,631527
y,1419,631532
y,1309,631544
r,1427,632472
r,1427,632507
g,1309,633680
i,1427,635872
i,1427,635910
g,1331,637816
g,1309,637848
g,1309,637879
r,1309,638788
r,1309,638820
r,1331,638821
r,1331,638837
r,1427,638838
r,1427,638862
r,1445,638872
r,1445,638917
i,1419,641075
r,1331,643042
y,1427,645549
y,1427,645586
y,1427,646585
y,1427,646601
y,1427,646616
y,1566,647529
y,1427,647533
y,1331,647534
y,1309,647543
y,1419,647544
z,1419,648513
z,1445,648519
y,1309,651598
i,1331,654423
i,1445,654481
i,1427,654482
i,1419,654510
i,1427,654515
i,1331,654535
i,1427,654536
i,1427,654562
u,1427,657400
u,1445,657428
u,1419,657449
u,1427,658295
u,1309,660226
u,1309,660233
r,1445,661025
r,1427,661026
r,1427,661061
u,1331,661558
u,1427,662433
g,1427,662539
g,1309,662543
g,1546,662583
g,1427,662586
g,1309,662593
y,1331,664534
y,1309,664542
i,1331,665661
i,1427,665663
i,1427,665701
i,1419,665702
y,1427,667122
y,1309,667140
y,1331,667147
y,1427,667149
y,1419,667158
i,1427,670722
i,1427,670765
i,1445,670766
i,1445,670967
i,1427,670968
i,1427,671002
i,1331,671023
g,1331,671596
g,1566,671618
r,1427,671658
r,1427,674104
u,1309,675089
r,1419,676805
r,1309,676806
r,1331,676807
r,1427,676808
r,1309,676839
r,1427,676841
r,1331,676852
r,1331,676894
i,1309,678515
i,1309,678538
u,1427,680166
g,1309,680275
i,1309,682855
r,1427,684468
i,1445,685652
i,1427,685689
i,1427,685716
i,1309,685757
y,1427,687276
i,1331,687401
i,1445,687404
i,1427,687405
i,1331,687429
i,1427,687440
z,1331,688415
z,1427,688416
z,1427,688451
y,1427,689831
y,1419,689832
y,1427,689840
z,1427,691013
z,1419,691047
z,1427,691048
r,1331,693009
i,1331,693453
r,1427,693870
r,1309,693967
r,1331,693968
r,1427,693974
r,1445,693997
r,1427,693998
r,1331,694210
g,1427,694815
r,1427,696246
g,1419,697992
r,1427,698621
u,1309,699447
u,1419,699448
u,1546,700988
r,1309,701057
r,1309,701086
r,1331,701129
g,1427,703723
g,1445,703768
g,1427,703769
r,1427,704745
r,1331,705395
r,1427,705396
r,1546,705397
r,1331,705439
r,1427,705440
r,1546,705441
r,1427,706922
z,1427,707630
z,1309,707631
z,1331,707639
z,1427,707660
z,1309,707669
z,1546,707672
z,1309,707715
y,1309,709970
y,1427,709972
z,1331,711858
z,1546,712356
z,1309,712519
z,1309,712574
i,1419,714075
r,1445,715235
r,1419,715236
r,1419,718871
g,1419,719589
z,1427,721609
z,1445,721618
z,1427,721639
r,1309,721759
z,1309,724501
z,1419,726567
z,1427,726568
z,1427,726608
i,1445,731763
i,1427,731764
i,1331,731788
y,1309,738182
y,1427,738185
y,1427,738200
y,1427,738202
u,1445,739650
u,1427,742408
z,1546,745914
y,1419,748062
z,1419,749661
z,1427,749662
z,1427,749698
z,1309,750232
y,1331,751795
y,1309,751844
y,1427,752723
y,1331,753438
r,1309,755160
r,1445,759434
y,1427,765259
i,1427,766975
i,1427,767016
z,1445,769987
z,1427,769988
z,1427,770035
y,1445,771661
y,1427,772396
z,1427,778844
g,1445,781408
g,1419,781417
g,1309,781419
g,1427,781420
u,1427,782200
g,1427,785475
y,1546,787923
r,1427,787962
y,1419,791345
y,1309,791368
z,1427,796365
y,1546,799044
y,1419,799045
y,1427,799046
y,1309,799047
y,1445,876978
y,1445,878094
y,1427,879101
y,1427,879117
i,1331,886316
g,1419,888374
g,1427,888380
g,1427,888403
g,1419,888404
g,1331,888406
r,1445,889405
r,1427,889408
r,1445,889447
r,1331,889449
r,1546,889457
r,1427,889458
r,1445,896672
r,1445,896697
r,1331,896739
r,1427,896821
r,1419,896822
r,1427,896845
i,1427,898736
i,1427,898766
i,1427,898787
y,1427,901603
z,1331,902858
z,1427,903692
z,1427,903729
z,1427,903742
z,1427,903765
i,1427,906932
i,1331,906935
i,1427,906980
i,1331,906983
u,1427,911592
r,1331,913624
u,1331,914645
u,1427,914646
i,1309,915756
i,1309,915803
r,1427,916726
r,1427,916788
i,1427,918807
i,1566,919461
i,1331,919513
i,1309,919514
i,1331,919559
i,1419,919560
r,1427,920424
g,1309,921284
g,1309,921309
g,1419,921310
g,1445,921342
r,1331,923017
r,1331,923056
r,1309,924894
r,1546,924926
r,1419,924928
r,1309,924929
r,1427,924934
r,1427,924974
g,1427,927715
g,1331,927716
g,1427,927749
r,1331,928525
r,1427,928526
r,1427,928549
r,1331,928550
r,1309,928551
r,1419,928616
i,1427,929430
i,1331,929431
i,1427,929467
i,1427,932122
i,1445,932125
i,1419,932130
i,1427,932167
i,1445,932168
i,1419,932171
r,1427,932974
i,1331,933770
i,1331,933818
y,1309,936448
y,1427,936458
y,1331,936459
y,1427,936494
y,1419,936531
y,1309,936573
y,1445,937290
y,1427,937329
y,1427,937336
y,1331,938154
y,1427,938155
y,1419,938229
g,1309,943244
g,1331,943245
r,1427,943907
r,1427,944853
r,1427,944884
i,1309,945705
i,1419,945710
r,1427,946375
u,1427,947264
u,1427,947284
u,1331,947285
u,1566,947290
u,1309,947317
u,1427,949567
u,1331,949587
u,1419,949606
i,1546,951271
i,1427,951272
i,1427,951315
g,1445,951987
g,1427,952002
g,1427,952077
r,1427,952767
i,1331,953555
r,1445,954400
r,1427,955117
i,1427,955484
i,1546,955485
i,1427,955518
y,1331,956198
y,1309,956234
z,1419,957632
r,1331,958607
r,1309,958612
g,1419,960222
g,1419,960252
r,1309,963223
i,1427,965402
i,1427,965451
r,1309,966137
r,1419,966178
z,1427,968196
z,1427,968226
z,1309,968978
z,1419,968993
r,1427,969018
r,1309,970737
z,1419,971045
z,1309,971046
z,1419,971087
z,1427,972811
z,1445,972851
z,1427,972852
z,1445,973521
z,1309,974818
z,1331,974819
y,1427,975160
y,1427,975170
y,1566,975200
i,1309,976168
i,1331,976169
i,1309,976319
i,1427,976320
i,1546,976322
i,1309,976356
i,1427,976357
i,1419,976371
i,1427,976375
r,1309,982906
r,1331,982974
r,1427,988528
y,1419,989173
y,1427,989174
y,1331,989176
y,1445,991360
z,1427,992262
z,1419,992264
z,1427,992293
z,1419,992294
y,1427,992909
y,1445,994216
y,1419,994244
i,1427,994962
i,1445,994992
i,1427,994993
i,1419,994994
g,1427,998847
g,1427,998877
i,1419,1000779
z,1309,1003699
z,1427,1006662
z,1445,1006663
z,1309,1006675
z,1445,1006697
z,1427,1006698
z,1309,1006706
y,1427,1009715
y,1419,1009716
y,1309,1009808
y,1331,1009809
y,1419,1011324
i,1419,1013664
i,1309,1013668
i,1427,1013669
z,1427,1014261
z,1427,1014292
g,1419,1016814
z,1309,1020566
z,1331,1020567
r,1331,1027032
r,1419,1027045
r,1427,1028670
r,1309,1028671
r,1419,1028708
i,1331,1029802
z,1445,1030541
y,1331,1032142
y,1309,1032143
y,1427,1032144
y,1419,1032211
y,1427,1032212
y,1419,1033953
y,1309,1033954
y,1427,1034735
y,1427,1038999
z,1331,1041598
z,1445,1041599
z,1427,1041603
z,1309,1041604
z,1419,1041606
z,1419,1044112
z,1309,1047470
z,1427,1049266
z,1309,1049267
y,1546,1051935
y,1419,1051936
y,1309,1051947
g,1427,1128100
y,1331,1136055
y,1427,1136080
y,1419,1136082
y,1445,1136085
y,1427,1136128
y,1331,1138141
y,1309,1138143
y,1427,1138145
y,1427,1138154
y,1427,1140240
y,1419,1141268
r,1309,1145295
g,1331,1148149
g,1331,1148194
g,1427,1148195
g,1427,1148232
g,1445,1148276
u,1427,1151374
u,1427,1151383
u,1331,1151387
r,1427,1153284
r,1445,1153314
r,1427,1153315
i,1309,1157697
i,1427,1157702
i,1427,1158507
i,1419,1158520
i,1427,1158534
y,1427,1161449
y,1331,1161450
y,1309,1161451
y,1427,1162429
y,1331,1162430
i,1419,1166722
i,1427,1166723
i,1419,1166757
i,1427,1166758
u,1427,1168170
u,1427,1169096
g,1309,1170053
g,1419,1170094
r,1427,1170830
r,1427,1171853
r,1427,1171888
z,1427,1172963
z,1546,1172967
z,1427,1172992
z,1419,1172993
i,1309,1173729
i,1309,1174555
i,1419,1174608
y,1427,1175308
y,1331,1175309
y,1419,1175348
y,1309,1177035
y,1419,1177036
y,1427,1177037
z,1427,1178286
z,1419,1178323
z,1427,1178324
z,1427,1178334
y,1445,1178846
y,1427,1178857
z,1331,1179994
z,1331,1180040
z,1309,1180041
r,1445,1182358
r,1427,1182359
r,1427,1182409
r,1445,1182478
r,1419,1182521
r,1566,1182587
r,1309,1182653
r,1331,1182654
r,1427,1183929
r,1331,1185161
r,1331,1185198
r,1309,1185200
i,1445,1185706
i,1427,1185856
i,1309,1185892
i,1427,1185894
r,1419,1186056
u,1331,1186513
u,1546,1186571
u,1419,1186578
u,1427,1187370
u,1331,1188216
r,1309,1188372
r,1309,1188407
r,1419,1188410
r,1427,1189943
r,1419,1189944
r,1331,1189946
r,1427,1189973
r,1419,1189974
r,1331,1189975
r,1309,1189976
r,1427,1192098
r,1309,1192102
r,1419,1192125
r,1427,1192128
r,1427,1192987
r,1427,1193022
r,1309,1193739
z,1427,1194149
g,1427,1194630
g,1427,1194668
r,1445,1195308
r,1427,1195309
r,1331,1195310
r,1419,1195311
r,1445,1195342
r,1427,1195343
i,1445,1196154
i,1546,1196252
i,1427,1196401
i,1427,1196456
z,1331,1196530
z,1331,1197607
z,1309,1197610
z,1309,1197654
z,1427,1198526
i,1331,1198832
y,1427,1199275
y,1419,1199297
y,1309,1199300
z,1427,1200300
z,1427,1200344
y,1445,1200783
y,1427,1200836
y,1331,1200837
u,1427,1204924
i,1427,1205926
i,1427,1205971
i,1419,1205978
i,1331,1206031
i,1309,1206032
g,1331,1206126
g,1309,1206127
g,1427,1206428
g,1427,1206459
i,1419,1209262
i,1427,1209686
i,1445,1209687
i,1419,1209723
i,1427,1209724
z,1445,1211674
z,1427,1211705
z,1427,1211728
i,1419,1212792
i,1427,1212793
i,1427,1212826
i,1331,1212859
i,1309,1212860
z,1331,1213024
z,1427,1213025
z,1427,1213065
z,1309,1213066
z,1546,1218058
z,1331,1218063
z,1309,1218093
z,1331,1218094
y,1427,1220933
y,1419,1220940
z,1419,1221624
z,1427,1221625
z,1427,1223100
u,1419,1223188
u,1309,1223190
r,1427,1224718
r,1427,1224748
r,1331,1224816
g,1427,1225482
g,1309,1225497
g,1445,1225511
g,1427,1225512
r,1427,1230339
i,1331,1231297
i,1331,1231330
i,1309,1231945
i,1427,1231985
i,1427,1232013
u,1427,1237357
u,1309,1238083
r,1419,1240152
r,1427,1240153
r,1331,1240177
r,1419,1240182
r,1427,1240183
i,1427,1243717
i,1427,1243759
r,1331,1245154
r,1331,1245187
i,1427,1246568
i,1309,1246569
i,1427,1246615
r,1309,1254590
r,1427,1254591
r,1419,1254592
r,1427,1254623
i,1546,1255219
i,1331,1255262
g,1427,1257583
g,1427,1260426
g,1427,1260458
u,1331,1261905
u,1566,1261938
u,1427,1261941
r,1427,1265026
r,1427,1265076
r,1331,1265876
i,1309,1266592
i,1419,1266594
i,1427,1267452
